lgsl,lgil_override,url
1,,https://www.gov.uk/home-schooling-information-council
2,,https://www.gov.uk/help-school-clothing-costs
3,,https://www.gov.uk/help-home-school-transport
4,,https://www.gov.uk/apply-free-school-meals
9,,https://www.gov.uk/apply-special-educational-needs-assessment
12,,https://www.gov.uk/find-nursery-school-place
13,,https://www.gov.uk/apply-for-primary-school-place
14,,https://www.gov.uk/apply-for-secondary-school-place
18,,https://www.gov.uk/after-school-holiday-club
19,,https://www.gov.uk/childcare-out-of-school-hours
35,,https://www.gov.uk/education-attendance-council
36,,https://www.gov.uk/school-term-holiday-dates
40,,https://www.gov.uk/apply-school-transport-for-child-with-special-educational-needs-sen
48,,https://www.gov.uk/apply-for-child-performance-licence
55,,https://www.gov.uk/contact-your-local-council-about-business-rates
57,,https://www.gov.uk/pay-council-tax
59,,https://www.gov.uk/apply-for-council-tax-discount
63,,https://www.gov.uk/apply-council-tax-reduction
69,8,https://www.gov.uk/apply-housing-benefit-from-council
72,,https://www.gov.uk/appeal-housing-benefit-decision
88,,https://www.gov.uk/apply-swap-homes-council
90,,https://www.gov.uk/appeal-council-housing-decision
92,,https://www.gov.uk/apply-for-council-housing
101,,https://www.gov.uk/report-squatters-property
112,,https://www.gov.uk/homelessness-help-from-council
115,,https://www.gov.uk/rent-council-garage
124,,https://www.gov.uk/insurance-claim-against-council
137,,https://www.gov.uk/apply-disabled-facilities-grant
141,,https://www.gov.uk/repair-council-property
147,,https://www.gov.uk/garden-maintenance-council-tenants
151,,https://www.gov.uk/find-out-about-right-to-buy-from-your-council
159,,https://www.gov.uk/apply-foster-child-council
160,,https://www.gov.uk/apply-to-adopt-child-through-council
178,,https://www.gov.uk/apply-home-equipment-for-disabled
209,,https://www.gov.uk/apply-needs-assessment-social-services
230,,https://www.gov.uk/apply-for-sheltered-housing
260,,https://www.gov.uk/apply-short-term-care-for-child
272,,https://www.gov.uk/community-transport-services-shopmobility
273,,https://www.gov.uk/apply-for-elderly-person-bus-pass
274,,https://www.gov.uk/where-registered-disabled-drivers-can-park
279,,https://www.gov.uk/blue-badge-scheme-information-council
280,,https://www.gov.uk/apply-for-disabled-bus-pass
287,,https://www.gov.uk/apply-direct-payments
296,,https://www.gov.uk/day-care-centres
297,,https://www.gov.uk/find-a-community-support-group-or-organisation
313,,https://www.gov.uk/apply-for-community-alarm
315,,https://www.gov.uk/meals-home
328,,https://www.gov.uk/find-bereavement-services-from-council
353,,https://www.gov.uk/complain-about-your-council
358,8,https://www.gov.uk/find-your-local-councillors
364,,https://www.gov.uk/get-on-electoral-register
372,,https://www.gov.uk/report-abandoned-vehicle
412,,https://www.gov.uk/report-noise-pollution-to-council
415,,https://www.gov.uk/asbestos-in-home
428,,https://www.gov.uk/report-syringes
431,0,https://www.gov.uk/report-pest-problem
431,8,https://www.gov.uk/pest-control
432,0,https://www.gov.uk/report-stray-dog
432,8,https://www.gov.uk/check-council-missing-dog
437,,https://www.gov.uk/local-library-services
438,,https://www.gov.uk/join-library
439,8,https://www.gov.uk/search-library-catalogue
439,0,https://www.gov.uk/reserve-library-item
440,,https://www.gov.uk/renew-library-item
442,,https://www.gov.uk/book-internet-access-at-library
444,,https://www.gov.uk/find-mobile-library
448,,https://www.gov.uk/search-local-archives
461,,https://www.gov.uk/find-your-local-park
471,,https://www.gov.uk/appeal-parking-fine
471,4,https://www.gov.uk/pay-parking-fine
474,,https://www.gov.uk/parking-permit
477,,https://www.gov.uk/apply-dropped-kerb
493,,https://www.gov.uk/find-local-transport-plans
499,,https://www.gov.uk/apply-building-regulation-approval-from-council
508,,https://www.gov.uk/apply-work-on-protected-tree
510,,https://www.gov.uk/apply-allotment
512,,https://www.gov.uk/apply-work-home-conservation-area
516,,https://www.gov.uk/search-register-planning-decisions
524,0,https://www.gov.uk/missed-bin-collection
524,8,https://www.gov.uk/rubbish-collection-day
528,,https://www.gov.uk/collection-large-waste-items
530,,https://www.gov.uk/garden-waste-disposal
533,8,https://www.gov.uk/recycling-collections
533,0,https://www.gov.uk/recycling-bin
537,,https://www.gov.uk/report-problem-pavement
541,,https://www.gov.uk/street-name-sign
546,,https://www.gov.uk/safe-walking-cycling-routes-school
550,,https://www.gov.uk/report-obstruction-road
555,,https://www.gov.uk/report-road-flooding
557,,https://www.gov.uk/report-pothole
558,,https://www.gov.uk/claim-compensation-injury-road-pavement
559,,https://www.gov.uk/report-problem-street-furniture
561,,https://www.gov.uk/roads-council-will-grit
564,,https://www.gov.uk/report-problem-street-light
567,,https://www.gov.uk/report-problem-traffic-light
568,,https://www.gov.uk/request-pedestrian-crossing
571,,https://www.gov.uk/request-speed-limit-change
576,,https://www.gov.uk/report-dead-animal
577,,https://www.gov.uk/report-dog-fouling
580,8,https://www.gov.uk/local-street-cleaning
580,0,https://www.gov.uk/report-litter
584,,https://www.gov.uk/report-graffiti
586,,https://www.gov.uk/report-vandalism
587,,https://www.gov.uk/report-flytipping
588,,https://www.gov.uk/report-fly-posters
591,,https://www.gov.uk/report-road-spillage
600,,https://www.gov.uk/report-dangerous-building-structure
603,,https://www.gov.uk/complain-demolition-works
615,,https://www.gov.uk/apply-funding-community-project
631,,https://www.gov.uk/chaperone-child-performers
664,,https://www.gov.uk/report-blocked-drain
684,,https://www.gov.uk/report-derelict-abandoned-building
703,,https://www.gov.uk/local-planning-emergency-major-incident
831,,https://www.gov.uk/support-group-for-children-young-people-families
850,,https://www.gov.uk/hazardous-waste-disposal
852,,https://www.gov.uk/organise-citizenship-ceremony-council
859,,https://www.gov.uk/request-clinical-waste-collection
860,8,https://www.gov.uk/alcohol-licence-your-area
867,,https://www.gov.uk/find-local-consultations
870,,https://www.gov.uk/contact-council-crime-prevention-community-safety
1116,,https://www.gov.uk/apply-youth-opportunity-funding
1135,,https://www.gov.uk/subsidised-college-transport-16-19
1140,,https://www.gov.uk/check-school-closure
1145,,https://www.gov.uk/courses-qualifications
1307,,https://www.gov.uk/services-disrupted-severe-weather
1579,,https://www.gov.uk/find-registered-childminder
1580,,https://www.gov.uk/apply-hold-street-party
1741,,https://www.gov.uk/find-free-early-education
1742,8,https://www.gov.uk/find-weighbridge
1743,,https://www.gov.uk/help-care-support
